LEAID,STNAME,FIPST,LEANM,PCTPROF_MTH_clean,PCTPROF_RLA_clean,NUMVALID_MTH_clean,NUMVALID_RLA_clean,SCHLEV,MEMBERSCH,TOTALEXP,TOTALREV,TFEDREV,TSTREV,TLOCREV,TCURINST,TCURSSVC,TCAPOUT,per_pupil_exp,poverty_rate,Estimated Population 5-17,cluster,log_enrollment,silhouette
0100005,ALABAMA,01,Albertville City,46.0,38.0,2911,2869,03,5636,55237000,60116000,7939000,36177000,16000000,28612000,17262000,2750000,9800.745209368346,30.053842388644156,4086,1,8.637107288081575,0.3835113936048119
0100006,ALABAMA,01,Marshall County,40.0,36.0,2952,2938,03,5652,60022000,61936000,7953000,40042000,13941000,30884000,23015000,266000,10619.603680113234,26.622181316152783,8692,1,8.63994165667529,0.45028422469039286
0100007,ALABAMA,01,Hoover City,70.0,65.0,7475,7442,03,13952,195605000,189124000,6935000,78790000,103399000,102547000,57484000,17371000,14019.85378440367,7.259552942784879,14629,0,9.543449817892206,0.43928930246206543
0100008,ALABAMA,01,Madison City,76.0,73.0,5903,5867,03,11290,118941000,129403000,6043000,69870000,53490000,65771000,38601000,4186000,10535.075287865367,8.298157109029136,9713,0,9.331761227180522,0.4423972691607493
0100011,ALABAMA,01,Leeds City,45.0,42.0,1063,1064,03,1950,21442000,21144000,1574000,12794000,6776000,10796000,7807000,221000,10995.897435897436,16.887608069164266,1735,1,7.576097340623111,0.2730712764348035
0100012,ALABAMA,01,Boaz City,43.0,39.0,1237,1234,03,2427,29013000,26609000,2562000,16185000,7862000,12820000,9117000,4242000,11954.264524103832,24.9570692615913,1747,1,7.794823152179389,0.4208129448710814
0100013,ALABAMA,01,Trussville City,76.0,71.0,2567,2566,03,4693,58922000,57019000,1317000,29142000,26560000,27601000,18430000,7283000,12555.295120392071,6.697698474269459,3867,0,8.454040376410969,0.48569247212265004
0100030,ALABAMA,01,Alexander City,43.0,38.0,1605,1607,03,3065,31755000,35071000,4207000,18989000,11875000,17971000,9483000,1157000,10360.5220228385,37.33641262509623,2598,1,8.028129059431759,0.3763862976614473
0100060,ALABAMA,01,Andalusia City,48.0,49.0,926,925,03,1794,22306000,22822000,2623000,11285000,8914000,10225000,5415000,4768000,12433.667781493868,31.19392684610076,1449,1,7.492760300922379,0.28961989315515424
0100090,ALABAMA,01,Anniston City,22.0,27.0,897,897,03,1947,24213000,24781000,4379000,12277000,8125000,12001000,9548000,245000,12436.055469953775,38.064516129032256,3100,1,7.5745584842024805,0.45275259181261057
0100100,ALABAMA,01,Arab City,72.0,64.0,1403,1404,03,2632,26857000,27106000,1747000,17160000,8199000,15807000,8167000,712000,10204.0273556231,17.51824817518248,1507,0,7.87587915949631,0.3537141613843675
0100120,ALABAMA,01,Athens City,50.0,51.0,2231,2211,03,4284,54753000,58199000,3848000,26910000,27441000,27528000,14652000,6192000,12780.812324929972,17.82926215059179,3971,1,8.36287583103188,0.02628126181587372
0100180,ALABAMA,01,Attalla City,40.0,42.0,783,782,03,1526,16314000,16442000,2004000,11300000,3138000,8928000,5323000,71000,10690.694626474444,26.06790799561884,913,1,7.3310603052186325,0.424844539905286
0100185,ALABAMA,01,Saraland City,69.0,64.0,1651,1650,03,3114,37019000,35237000,1992000,19870000,13375000,15216000,12306000,4303000,11887.925497752089,20.17977528089888,2225,0,8.043984431221553,0.3156523548941739
0100188,ALABAMA,01,Chickasaw City,19.0,22.0,604,609,03,1154,11740000,12279000,2291000,7547000,2441000,6289000,4157000,0,10173.310225303292,41.28902316213495,993,1,7.051855622955894,0.4216715207681613
0100189,ALABAMA,01,Satsuma City,54.0,54.0,828,828,03,1533,14846000,16165000,1062000,9994000,5109000,7836000,5817000,318000,9684.279191128506,21.62426614481409,1022,1,7.335633981927201,0.020808624951677315
0100190,ALABAMA,01,Alabaster City,57.0,52.0,3342,3331,03,6184,75875000,75491000,4674000,38765000,32052000,38111000,24381000,1913000,12269.566623544632,11.596363094350872,6709,0,8.729882284826589,0.26688195391979475
0100194,ALABAMA,01,Pelham City,50.0,53.0,1768,1752,03,3306,38792000,43735000,2298000,18778000,22659000,19366000,11735000,2693000,11733.81730187538,8.137563574715427,4129,0,8.103796712981794,0.2508686402358275
0100195,ALABAMA,01,Pike Road City,48.0,53.0,1075,1069,03,1863,17827000,17209000,595000,10912000,5702000,9336000,6133000,1041000,9568.974771873323,6.903163950143816,1043,0,7.530479995245536,0.2081802382539826
0100210,ALABAMA,01,Auburn City,72.0,64.0,4681,4636,03,8738,107808000,118080000,4735000,50572000,62773000,51227000,34612000,9728000,12337.83474479286,11.7124394184168,7428,0,9.075551045627543,0.4350916124510879
0100240,ALABAMA,01,Autauga County,54.0,55.0,4941,4915,03,9094,83714000,88218000,7798000,59406000,21014000,46382000,26237000,3398000,9205.410160545414,19.29788753954485,9799,0,9.115480090952223,0.05694836822189684
0100270,ALABAMA,01,Baldwin County,59.0,56.0,17312,17226,03,32267,417727000,397613000,27518000,173030000,197065000,191088000,116706000,78320000,12945.950971580873,12.897169677144078,35155,0,10.381831306056865,0.15278130450860924
0100360,ALABAMA,01,Bibb County,34.0,37.0,1661,1657,03,3236,33822000,34923000,3889000,24070000,6964000,17036000,12493000,326000,10451.792336217552,25.43912780133253,3302,1,8.082402253926244,0.48910504122106013
0100390,ALABAMA,01,Birmingham City,21.0,24.0,11790,11786,03,23041,285137000,299766000,46340000,139279000,114147000,140587000,113194000,3381000,12375.20072913502,35.049511464947194,30397,1,10.045073916598,0.38402910005363744
0100420,ALABAMA,01,Blount County,45.0,46.0,3978,3973,03,7651,83168000,78353000,7270000,53996000,17087000,40617000,24090000,11892000,10870.21304404653,15.21471016930149,8919,1,8.942722330560143,0.1561903931611543
0100450,ALABAMA,01,Brewton City,58.0,59.0,627,627,03,1133,12700000,14587000,1116000,7561000,5910000,7130000,4241000,163000,11209.17917034422,34.977064220183486,872,1,7.033506484287697,0.10453278496730052
0100510,ALABAMA,01,Butler County,26.0,28.0,1571,1568,03,3015,30839000,32429000,5009000,20310000,7110000,15940000,10723000,207000,10228.524046434492,34.703896900889845,3259,1,8.011686729127847,0.4711315097303552
0100540,ALABAMA,01,Calhoun County,45.0,49.0,4471,4468,03,8548,93988000,91988000,8978000,58580000,24430000,45425000,32731000,6576000,10995.320542817031,18.74865851040996,9318,1,9.053569596026234,0.18352348277300934
0100600,ALABAMA,01,Chambers County,36.0,38.0,1806,1807,03,3545,37888000,38462000,5223000,23604000,9635000,19345000,13628000,868000,10687.729196050775,26.70702179176756,4130,1,8.173575486634153,0.47438228979908115
0100630,ALABAMA,01,Cherokee County,46.0,41.0,2036,2037,03,3934,53188000,46472000,4930000,27382000,14160000,23357000,16045000,8517000,13520.0813421454,21.93446088794926,3784,1,8.277666160851503,0.34770171245232134
0100660,ALABAMA,01,Chilton County,41.0,39.0,4061,4055,03,7837,74061000,73891000,8858000,47179000,17854000,40457000,22657000,3460000,9450.172259793288,22.29094188893184,7761,1,8.966738978759576,0.39683338274566593
0100690,ALABAMA,01,Choctaw County,23.0,25.0,659,658,03,1300,15387000,17517000,2686000,8503000,6328000,6383000,7084000,41000,11836.153846153846,28.827877507919748,1894,1,7.170888478512505,0.5102646660128461
0100720,ALABAMA,01,Clarke County,39.0,37.0,1222,1222,03,2460,27459000,28643000,4244000,17721000,6678000,13260000,10175000,41000,11162.19512195122,32.525597269624576,2930,1,7.8083230503910555,0.4375804278945058
0100750,ALABAMA,01,Clay County,43.0,37.0,966,966,03,1868,18411000,19604000,2174000,13722000,3708000,10173000,6057000,59000,9855.995717344753,24.637681159420293,2001,1,7.533158807455563,0.4209115406829562
0100810,ALABAMA,01,Coffee County,48.0,47.0,1269,1266,03,2388,23276000,24143000,2487000,16146000,5510000,12401000,7595000,1457000,9747.068676716915,20.27027027027027,3404,1,7.77863014732581,0.21763491708117286
0100840,ALABAMA,01,Colbert County,37.0,38.0,1347,1342,03,2668,32738000,33595000,3843000,17523000,12229000,16959000,11983000,536000,12270.614692653671,19.597847635230814,3531,1,7.889459149404524,0.4504150847661988
0100870,ALABAMA,01,Conecuh County,31.0,30.0,820,817,03,1941,21286000,21735000,3288000,13647000,4800000,11251000,8329000,2000,10966.512107161258,38.35616438356164,1898,1,7.571473648851271,0.43538714214975566
0100930,ALABAMA,01,Covington County,48.0,50.0,1591,1590,03,3082,35809000,34918000,3728000,21307000,9883000,17895000,10294000,4729000,11618.754055807916,26.093424576019043,3361,1,8.03365842788615,0.2529066788401156
0101020,ALABAMA,01,Cullman County,54.0,48.0,4951,4950,03,9468,104690000,105762000,11272000,63979000,30511000,55467000,33503000,6404000,11057.245458386144,19.04677218566601,11246,1,9.1557785839835,0.05206423251022805
0101050,ALABAMA,01,Dale County,60.0,53.0,1673,1672,03,3189,34792000,34959000,2993000,23672000,8294000,18284000,9370000,3769000,10910.00313577924,23.876166242578456,2358,0,8.06777619577889,0.01088255454031754
0101080,ALABAMA,01,Daleville City,27.0,36.0,546,533,03,1087,10940000,11087000,1962000,6894000,2231000,5802000,4083000,33000,10064.397424103036,24.14187643020595,1748,1,6.992096427415888,0.5083105408580598
0101110,ALABAMA,01,Dallas County,30.0,29.0,1603,1603,03,3027,35884000,37719000,6979000,24908000,5832000,17403000,15392000,47000,11854.641559299636,37.04545454545455,3520,1,8.01565761455734,0.4511982084542895
0101140,ALABAMA,01,DeKalb County,37.0,35.0,4672,4631,03,8835,101271000,93647000,12768000,61933000,18946000,51004000,28418000,13479000,11462.478777589136,28.36450839328537,10425,1,9.086589564540008,0.4569118705479618
0101170,ALABAMA,01,Decatur City,49.0,41.0,4567,4527,03,8699,113401000,113639000,10277000,53309000,50053000,60866000,32770000,7495000,13036.096103000344,22.59186779734725,9198,1,9.071078304642676,0.2923713705511491
0101200,ALABAMA,01,Demopolis City,39.0,40.0,1190,1187,03,2216,21620000,23621000,2636000,15033000,5952000,12725000,6246000,482000,9756.317689530686,32.897033158813265,1146,1,7.7039102096163115,0.4170238380878553
0101230,ALABAMA,01,Dothan City,42.0,42.0,4802,4787,03,8967,103103000,97163000,14691000,55682000,26790000,51305000,35137000,8147000,11498.048399687745,22.63381779510812,11284,1,9.101417964751995,0.36830307945656227
0101290,ALABAMA,01,Elmore County,52.0,51.0,5989,5974,03,11433,109590000,112702000,11472000,70717000,30513000,61126000,32900000,3291000,9585.41065337182,15.439856373429084,12254,0,9.344346651823917,0.0535787999385108
0101320,ALABAMA,01,Enterprise City,60.0,56.0,3664,3627,03,6723,69556000,72670000,6893000,45803000,19974000,34435000,24874000,4493000,10345.97649858694,18.66965925321363,4901,0,8.813438494528507,0.18197813153469838
0101350,ALABAMA,01,Escambia County,44.0,43.0,2255,2258,03,4234,51115000,49914000,6442000,29704000,13768000,24424000,17685000,3956000,12072.508266414738,30.271317829457367,5160,1,8.351138607086154,0.3805482187640646
0101380,ALABAMA,01,Etowah County,49.0,53.0,4523,4517,03,8486,82971000,86243000,8344000,58462000,19437000,44875000,26726000,2357000,9777.398067405138,18.34110938310005,9645,1,9.046290859969677,0.03515467592146312
0101410,ALABAMA,01,Eufaula City,23.0,34.0,3111,3107,03,5427,39926000,42232000,4346000,30136000,7750000,16642000,10131000,1220000,7356.91910816289,34.51050514081359,2237,1,8.59932602095476,0.45009070225810566
0101470,ALABAMA,01,Fayette County,42.0,45.0,1177,1177,03,2302,24231000,24049000,2701000,15618000,5730000,12558000,8686000,102000,10526.064291920067,37.59590792838875,2346,1,7.741967899820685,0.3473294828764542
0101530,ALABAMA,01,Florence City,56.0,48.0,2210,2200,03,4254,64509000,61074000,5295000,27414000,28365000,31006000,19026000,8988000,15164.315937940764,20.883218842001963,5095,1,8.355850041007475,0.041401881354442005
0101560,ALABAMA,01,Fort Payne City,46.0,43.0,1792,1781,03,3249,37827000,39380000,3815000,20782000,14783000,18052000,8324000,8591000,11642.659279778394,32.304038004750595,2526,1,8.086410275323782,0.3581417670322907
0101590,ALABAMA,01,Franklin County,38.0,37.0,1888,1882,03,3674,42333000,40892000,5221000,27074000,8597000,22008000,11044000,3793000,11522.318998366902,25.966562173458723,3828,1,8.209308411646937,0.4711804984354357
0101620,ALABAMA,01,Gadsden City,42.0,41.0,2561,2551,03,5194,57007000,55849000,8829000,32299000,14721000,30075000,18572000,2118000,10975.548710050058,35.23471105292688,5347,1,8.555451903533328,0.38176208242301585
0101640,ALABAMA,01,Geneva City,53.0,50.0,676,675,03,1249,17203000,13415000,1289000,8852000,3274000,7440000,4178000,4296000,13773.41873498799,31.81357649442756,987,1,7.1308988302963465,0.2244516836841507
0101660,ALABAMA,01,Geneva County,54.0,47.0,1375,1370,03,2750,27180000,27874000,4023000,19056000,4795000,15098000,8876000,311000,9883.636363636364,24.85858886573385,3359,1,7.919719760924575,0.19502686445989284
0101690,ALABAMA,01,Guntersville City,56.0,54.0,998,996,03,1871,25862000,21974000,1664000,11990000,8320000,10979000,8282000,4335000,13822.554783538217,23.175319789315274,1329,0,7.534762657037537,0.0036112602618739915
0101710,ALABAMA,01,Hale County,32.0,34.0,1256,1257,03,2488,25357000,27287000,3421000,18119000,5747000,13296000,8609000,602000,10191.720257234729,33.706004140786746,2415,1,7.819636302367592,0.46268585334195417
0101730,ALABAMA,01,Hartselle City,66.0,65.0,1721,1724,03,3469,36099000,37630000,1782000,22592000,13256000,19079000,12606000,1643000,10406.16892476218,12.18925421010425,2494,0,8.151909872940905,0.42551005352176235
0101740,ALABAMA,01,Henry County,36.0,42.0,1346,1349,03,2466,25033000,25361000,2748000,16896000,5717000,12953000,8164000,703000,10151.25709651257,23.93617021276596,2632,1,7.810758116529357,0.44763261186754605
0101760,ALABAMA,01,Homewood City,75.0,68.0,2328,2323,03,4292,73792000,80861000,2578000,21783000,56500000,32057000,17560000,19565000,17192.91705498602,7.759303246239114,3789,0,8.36474106822456,0.507338881365813
0101800,ALABAMA,01,Huntsville City,44.0,46.0,12345,12302,03,23993,263492000,294221000,29167000,128056000,136998000,135241000,93622000,2536000,10982.036427291294,20.385634917753,27539,1,10.085559078074873,0.16254811525910126
